distance_miles,container_size_encoded,minute_of_day,day_of_week,is_weekend,hour,month,quarter,price
233.31703432400917,1,727,1,0,12,2,1,298.47042221814587
134.46913972685545,1,196,5,1,3,5,2,200.23779523731739
258.2863863738578,1,513,2,0,8,9,3,309.94138070556977
210.72356857251236,0,1150,3,0,19,6,2,257.507244641954
32.78231762685661,1,875,6,1,14,3,1,123.01904811164718
292.808593732843,0,1422,1,0,23,12,4,323.2308257799892
229.53621208715413,0,1117,2,0,18,3,1,258.82753329171794
236.88897005670137,1,518,1,0,8,2,1,292.1212559800773
42.793521639286034,0,1104,3,0,18,5,2,109.72016659811929
137.8638516791923,0,1246,2,0,20,2,1,173.55546592754524
114.38541714861147,0,908,6,1,15,8,3,167.13882741289902
278.3956717103375,0,1098,2,0,18,6,2,315.8004474748203
194.94021042379603,1,724,4,0,12,12,4,288.20712175684287
247.71467591489485,0,1312,0,0,21,3,1,267.10856944603023
135.80718865406268,0,342,3,0,5,4,2,174.66321171004282
72.03542292650918,1,611,5,1,10,9,3,161.54683125083523
168.60251216967126,0,365,4,0,6,9,3,202.27069345508298
23.82609055073172,1,145,1,0,2,5,2,100.82455671011955
249.15119573781172,0,887,6,1,14,12,4,292.5484349017714
191.34099774100912,0,170,5,1,2,11,4,231.85518585583043
228.6358833251853,1,325,2,0,5,8,3,311.7681088267136
109.58516059831116,1,1099,6,1,18,9,3,190.84196545569787
291.3559171964965,0,347,1,0,5,7,3,291.48171392518265
268.4707307900483,0,1243,2,0,20,6,2,317.1504648184863
234.62313163675975,1,70,6,1,1,7,3,294.11976835595783
62.41841881633044,1,658,6,1,10,11,4,153.3665708419965
142.6826960994751,1,96,5,1,1,1,1,212.52456163821412
17.92211090723249,0,85,1,0,1,2,1,51.715140035807195
50.51540015992661,1,1138,1,0,18,6,2,148.80016743964904
206.49944120652412,0,96,4,0,1,7,3,230.35768055978548
224.70483599280607,0,1284,0,0,21,3,1,269.31164330381705
290.41537106809193,0,861,6,1,14,8,3,326.2224195910816
101.11848065075482,0,694,6,1,11,1,1,157.3220702534178
114.28561328028633,1,1322,5,1,22,3,1,207.08457505431213
143.51896432636335,0,558,6,1,9,6,2,200.3272275757605
60.89405092986428,1,575,1,0,9,1,1,148.9508444606969
43.32684407396413,1,590,6,1,9,8,3,132.81454756971067
145.33295323665047,1,936,1,0,15,7,3,219.41996441734895
71.93825797001081,1,1220,0,0,20,7,3,161.90543204904122
202.59512843134056,0,780,1,0,13,7,3,243.8403685381195
133.95981606733756,1,404,5,1,6,9,3,200.86460481674428
250.64006783706205,0,1281,6,1,21,8,3,292.214753707692
211.5782050906635,0,862,4,0,14,8,3,239.62746900888357
97.14815920770211,0,1198,1,0,19,3,1,137.3763037632168
250.51664141158432,1,622,4,0,10,9,3,302.4631536763339
242.40548546155654,0,287,3,0,4,3,1,259.2659451558884
119.30612181390147,1,1360,3,0,22,1,1,212.55026944980813
90.056790659422,0,975,2,0,16,12,4,141.28831817542948
206.33617367261778,1,443,0,0,7,3,1,248.08754674715684
46.226982664746394,1,1220,2,0,20,2,1,169.4057685021476
63.97291973015695,1,13,6,1,0,4,2,154.87684778367216
7.1718695765466265,1,1339,2,0,22,12,4,124.76864841831582
237.14269136313084,1,833,0,0,13,11,4,320.69409400072306
201.13100269464948,1,849,2,0,14,9,3,274.4454528321298
213.02378669476886,0,19,3,0,0,3,1,229.5445086400601
235.31506415148053,0,253,4,0,4,8,3,270.62092458049455
140.3801537838103,1,1037,4,0,17,10,4,238.89719292475144
172.77865280610365,0,803,2,0,13,5,2,216.07021524676256
